0,-20428,-4726,-2426,-77,631,-2,446,91744
1,-20374,-4726,-2458,-77,4791,264,-453,91744
2,-21389,-4726,-6611,-95,-3337,-256,-9,91744
3,-21787,-4726,-5534,-95,4263,-260,-35,91744
4,-21386,-4742,-7605,-99,4263,0,-30,91534
5,-20368,-4742,2189,-89,4263,-4,43,93476
6,-20879,-4742,-2806,-41,4263,-2,56,93476
7,-20750,-4742,-2806,-97,4263,-2,-18,93476
8,-21422,-4466,2164,-87,8380,-8,-3,99204
9,-20370,-4466,2164,-77,8380,-8,59,99204
10,-21444,-4466,2164,-1123,253,-8,-16,99204
11,-20488,-4466,-3027,-93,8483,-8,-16,97632
12,-20886,-4466,-2426,-73,14063,-4,41,97632
13,-20366,-6522,-6459,-87,8895,-4,-2,99740
14,-21386,-4726,-7539,-39,8895,-16,-40,90571
15,-20810,-4598,2181,-73,16574,0,442,95548
16,-20760,-4598,2181,-87,16574,0,-66,99228
17,-21473,-9422,2181,-1118,16574,-262,-10,84300
18,-21457,-9422,-6970,-39,8444,0,34,83300
19,-21258,-9422,-2423,-101,16127,-2,-8,90396
20,-20370,-4454,5646,-79,17055,-12,414,97940
21,-21386,-4454,-2803,-95,17055,-8,-3,97659
22,-20818,-4454,-2419,-95,16603,-8,60,85396
23,-21482,-4454,-6043,-95,16603,-12,-2,82946
24,-20747,-4454,-6043,-39,15494,0,-26,91293
25,-21401,-4454,-6043,-99,15494,-2,-2,93570
26,-20362,4386,-3331,-73,7871,-8,37,97683
27,-20395,4386,-2931,-71,14630,0,50,97683
28,-20746,4386,2189,-71,7975,-4,34,99740
29,-20366,4386,2189,-71,7975,0,-4,99740
30,-21862,4386,2189,-71,7975,-260,-537,99740
31,-20368,4218,-3387,-95,3774,0,-2,97686
32,-20362,4218,-2419,-75,13534,-8,62,85403
33,-21842,4218,-6575,-89,13534,-4,-2,83262
34,-21330,4218,-2828,-73,15499,258,-2,91532
35,-21387,-4294,2189,-51,16024,260,59,99468
36,-20434,-4232,-2426,-87,7343,0,58,96154
37,-21402,-8332,-7091,-105,-3001,-266,-20,85327
38,-21891,-14750,-6586,-91,3327,-6,-30,83326
39,-21418,-4978,-7539,-103,-891,-4,-38,90276
40,-21846,-4978,-6523,-87,-321,-16,-2,99726
41,-20912,-4978,-2915,-97,4751,-2,38,99511
42,-20459,-4978,-2931,-71,17055,-16,46,99511
43,-20814,-4426,-6481,-93,16063,-14,-32,98636
44,-20362,4098,-3057,-87,7358,-2,43,99702
45,-21461,-4820,-3057,-87,7358,-2,43,85382
46,-21468,-4820,-3057,-87,7358,-2,43,78718
47,-21386,-4820,-2483,-85,13499,-6,-3,87452
48,-21419,-4198,-6523,-87,13499,0,-2,83235
49,-21386,-4198,-6523,-87,15550,0,-2,83235
50,-21842,-12462,-6523,-87,-400,0,-36,83235
51,-21842,-12462,-6523,-87,3267,-260,-34,83235
52,-20370,-12462,-6523,-71,3267,-14,-2,83235
53,-21482,-12462,-6523,-87,3832,-14,-27,83235
54,-21845,-12462,-6523,-97,3832,-14,-26,83235
55,-21410,-12462,-2419,-77,3832,0,-32,83235
56,-20926,-12462,-2419,-95,7906,-2,32,83235
57,-21405,-12462,-2419,-91,7906,-8,-34,84998
58,-21410,-12504,-6455,-87,16063,0,-34,99712
59,-20362,-4214,-2903,-99,4795,-2,-10,99734
60,-21859,-4214,-7595,-91,12958,-12,-2,99734
61,-20885,-4214,-2823,-71,7863,0,-3,99734
62,-20842,-4214,-2803,-75,17063,-2,-27,99734
63,-20746,-4214,-2899,-87,15551,0,-2,99740
64,-20441,-4200,-2539,-39,4684,0,-2,98156
65,-21458,-4966,-6971,-91,-3457,-2,-34,89892
66,-20370,-4454,-2433,-71,4799,0,-9,89892
67,-21846,-5094,-7627,-87,4799,0,-26,89892
68,-21442,-12490,-6459,-103,-1465,-24,-27,89892
69,-20362,-4326,-2810,-95,4798,-2,-9,95532
70,-20746,-4326,-2996,-71,4798,-2,-3,95532
71,-21404,-4326,-6083,-87,3222,-2,-27,95532
72,-21478,-5184,-7563,-89,255,-20,-32,95532
73,-20362,-4230,-2810,-73,255,-2,-2,99740
74,-21418,-4230,-6637,-71,3255,-12,-34,98124
75,-20369,-4230,-2515,-71,3255,-2,-6,98124
76,-20812,-4230,-2458,-71,4797,-6,34,98124
77,-20379,-4230,-2458,-71,4797,-4,34,98124
78,-21399,-4230,-2458,-71,4797,-4,34,98124
79,-21418,-4230,-2458,-71,4797,-4,34,98124
80,-21413,-4230,-2458,-71,-1415,-8,-32,98124
81,-20877,-4230,-2803,-87,4255,-2,37,98124
82,-21866,-4198,-2803,-87,12990,-12,-3,98124
83,-21866,-4198,-2803,-87,12990,-264,-41,98124
84,-20458,-4198,-3449,-89,14014,-12,34,98124
85,-20419,-4198,-2819,-89,16703,0,46,99740
86,-20866,-4198,-6003,-99,16703,0,37,99740
87,-20374,-4198,-2531,-71,15038,-12,-9,99740
88,-20748,-4198,-2531,-71,15038,-12,-9,99740
89,-21430,-4198,-2531,-1119,15038,-12,-9,99740
90,-20483,-4198,-2516,-41,16518,-6,-2,99740
91,-21442,-4198,-6964,-87,16518,-12,-20,99740
92,-20882,-4198,-2829,-77,14537,-2,-7,99740
93,-21458,-12366,-6585,-87,14006,-250,-27,99740
94,-21416,-12366,-7507,-89,14006,-6,-14,99740
95,-20763,-12366,-2931,-39,12927,0,-3,99740
96,-21421,-14902,-6453,-83,12927,-16,-36,99740
97,-20370,-4294,-2420,-77,12927,0,31,99740
98,-21478,-12344,-6459,-99,12927,-8,-35,99740
99,-20362,-4598,-2934,-75,16191,0,37,99740
100,-20400,-4598,-2425,-73,12893,-6,-5,99740
101,-21386,-4598,-6003,-87,17084,0,-2,99740
102,-20378,-4598,-2475,-39,13023,-10,58,99740
103,-21386,-12174,-6591,-39,13495,-12,-9,98762
104,-21386,-4660,-2422,-75,17063,-6,-6,99228
105,-20458,-4660,-2944,-71,15576,-4,58,99228
106,-20438,-4660,1741,-39,16607,0,-2,99228
107,-20397,-4660,-2467,-95,16675,0,38,99228
108,-20362,4248,-2419,-87,13503,0,37,99221
109,-20362,4248,-2455,-77,16561,0,-4,99221
110,-20814,4248,-2455,-77,12991,0,-2,99221
111,-21392,4248,-2455,-77,12991,-8,-34,99221
112,-20362,4248,-3447,-87,12991,0,-2,99221
113,-21476,-11962,-3447,-89,12991,260,-2,99221
114,-21399,-13042,-3447,-89,12991,-261,-2,99221
115,-21861,-4746,-7534,-89,12991,-8,-49,99221
116,-20377,-4746,-2420,-77,17071,-8,-2,99221
117,-21264,-4746,-2420,-77,12606,0,-2,99221
118,-21466,-4746,-2420,-77,12606,0,-37,93092
119,-20369,-4342,-3044,-39,12606,0,-6,93092
120,-21402,-4342,-2955,-71,12606,-18,-30,93092
121,-20458,-4202,2141,-87,14015,0,38,93092
122,-21410,-4342,-3443,-89,9911,0,-4,93092
123,-21419,-12134,-6522,-87,9911,262,-34,91611
124,-20363,-4714,-6522,-41,9911,-2,-2,91611
125,-21410,-9038,-6522,-1111,9911,-260,-41,91611
126,-20428,-4230,-2428,-87,9911,-8,32,91611
127,-20761,-4230,-2421,-87,703,0,31,91611
128,-19322,4202,-2419,-51,317,0,32,98716
129,-20362,4202,-2934,-71,317,-2,-2,98716
130,-20422,4202,-2934,-71,317,-8,-4,98716
131,-21467,4202,-2934,-71,317,-8,-543,98716
132,-21411,4202,-2934,-91,317,-8,-26,98716
133,-20368,4202,-2807,-69,-353,-6,38,97692
134,-20390,4202,-2803,-71,-353,0,46,97692
135,-20418,4202,-2426,-73,-353,-14,46,97692
136,-20362,4202,1734,-87,-353,-4,-6,97692
137,-20365,12090,-2427,-75,-9025,264,-3,97692
138,-20365,4490,-2820,-77,-321,-4,-6,97435
139,-20818,-4966,-2867,-71,-321,-12,-9,97435
140,-21456,-4758,-6541,-83,-321,0,-40,97435
141,-19323,-4198,-6541,-83,-321,0,-2,97435
142,-21424,-4598,-6541,-83,-9124,260,-26,97435
143,-18833,-4598,-2419,-87,-881,-8,-18,97435
144,-20474,-4598,-2931,-87,-881,-14,44,97435
145,-21386,-4726,-3892,-99,-881,0,-2,97435
146,-18834,-6366,-2867,-89,-881,0,38,97435
147,-21450,-4502,-7539,-87,-7499,0,-6,97435
148,-18826,-4502,-7539,-87,-7499,-8,-6,97435
149,-21402,-13386,-7539,-87,-7499,-8,-6,97435
150,-21330,-9078,-7539,-87,-11625,-8,-42,97435
151,-18922,-4204,-2831,-75,319,-6,55,97435
152,-20365,-4204,-2831,-53,319,-12,-2,99212
153,-20924,-11970,-2831,-91,319,-270,-536,99212
154,-18829,-4724,-2426,-91,319,0,58,99212
155,-20898,-4210,-6963,-91,319,-12,-30,99212
156,-18874,-4488,2188,-71,319,-6,-2,99212
157,-20362,-4488,2188,-71,319,-4,38,99212
158,-21363,-11942,2188,-71,319,-258,-542,99212
159,-18838,-4820,-6970,-93,319,-8,-3,99212
160,-18835,-4820,-3043,-73,319,-2,46,99212
161,-18702,-4454,2189,-89,17087,-4,-2,99212
162,-18901,-4294,2189,-71,17087,-4,-2,99212
163,-20466,-4294,2189,-75,17087,-4,-560,93965
164,-18864,-4294,-2423,-75,17081,258,-560,98204
165,-18701,-4294,-2423,-75,17081,-5008,-560,99692
166,-18762,-4298,-6517,-87,17081,-12,-18,99692
167,-18346,-4298,-2867,-39,17079,-2,-5,99692
168,-18346,4986,1805,-71,16566,-6,-9,97688
169,-18328,4986,1805,-71,16566,-6,-2,97688
170,-20471,4986,1805,-71,16566,-6,-36,97688
171,-18317,4986,-2873,-75,16566,0,-2,87452
172,-18316,4986,-3427,-73,17087,-2,38,84379
173,-20386,4986,-6011,-41,1713,-2,-26,84379
174,-18386,4986,-7539,-79,1713,0,-32,84379
175,-18320,4898,-2867,-87,14015,0,32,97688
176,-18762,-4270,-2820,-99,17072,-8,55,97688
177,-18338,-4714,-2820,-71,12483,258,-11,97688
178,-20377,-4714,-2820,-1123,12483,-268,-28,97688
179,-18794,-4714,-2515,-39,17087,0,-2,97688
180,-18330,-4714,-2805,-51,15677,-8,-2,97688
181,-18314,-4714,-2818,-39,15677,0,34,97688
182,-18378,-4774,-7035,-87,15677,-12,-2,97688
183,-18345,-4502,-2419,-87,13967,-4,-3,97688
184,-18379,-5226,-2419,-87,13967,270,46,97688
185,-20415,-10834,-2419,-87,13967,-4,-27,97688
186,-18315,-10834,-2879,-71,7415,-4,32,87373
187,-18832,-10834,-2945,-41,16627,-2,-9,86492
188,-18321,-10834,2125,-87,8862,-2,46,86492
189,-18842,-10834,-2423,-73,8862,-6,61,86492
190,-18320,-10834,-2434,-51,16063,258,-10,99536
191,-18326,-4294,-6607,-83,7903,260,-13,97450
192,-18314,-4294,-7093,-89,16454,-2,-2,97450
193,-18314,-4294,2253,-39,13095,0,-2,97450
194,-18318,-4294,-2433,-39,13095,-6,-5,97450
195,-18344,-4294,-2419,-89,17087,0,46,97450
196,-18417,-4198,-2475,-71,16527,0,59,99712
197,-18314,-4198,-3386,-71,16527,0,-3,99712
198,-19893,-4198,-6114,-71,4727,0,-26,99712
199,-18762,-4198,-2807,-87,2751,0,37,99712
200,-15804,-4198,-2803,-51,17086,0,-2,99712
201,-18316,-4198,-2546,-95,16191,264,-2,99732
202,-16140,-4198,-3343,-71,16563,0,-2,97692
203,-15754,-4354,2185,-77,8895,0,-2,97692
204,-15802,-4354,-2485,-39,2744,0,-3,97692
205,-19814,-10418,-6980,-87,15615,0,-26,97692
206,-15816,-4230,-2421,-89,14975,-8,-11,99739
207,-15627,-4230,-2467,-71,15039,-8,-5,99739
208,-15308,-4230,2180,-87,8895,-4,-2,99739
209,-15760,-4230,-4499,-87,8895,-10,62,99739
210,-15242,-4230,-2879,-75,16031,0,-2,99739
211,-19340,-4230,-6515,-85,16031,0,-35,97494
212,-15250,-4438,-6527,-41,17022,0,-2,97922
213,-14316,-4206,2171,-87,7487,-4,38,97922
214,-15243,-4206,-2809,-71,17071,0,-2,97922
215,-14222,-4206,-2419,-71,17075,-4,-2,97922
216,-14602,-4202,-2879,-89,8359,0,-4,95771
217,-14320,-4202,-2435,-73,17079,0,-10,95771
218,-14218,-4202,-2468,-75,16567,260,-2,95771
219,-14250,-4808,-2434,-39,8868,0,-26,98972
220,-14282,-4808,-2479,-75,13503,-6,61,98972
221,-14606,-4808,2180,-71,8487,0,-2,98972
222,-14246,11098,-2807,-101,8487,260,58,98972
223,-14331,7118,-2906,-73,16583,-2,-2,98972
224,-19346,7118,-6541,-87,16583,0,-3,97434
225,-14703,7118,-2420,-53,14047,0,-7,98090
226,-14278,-5800,2189,-73,8499,-6,46,98090
227,-18323,-5222,-3443,-73,1208,-4,-2,98090
228,-18323,-5222,-3443,-41,-2930,-4,31,98090
229,-16273,-5222,-3443,2121,-8616,-4,-554,98090
230,-6426,-5222,4876,2121,-8616,286,-2,98090
231,-14610,-5222,5773,2121,-10631,-4,-20,98090
232,-6027,-5222,5757,-235,159,258,-3,98090
233,-6474,-5222,5389,-235,-7501,0,32,98090
234,-14297,-5830,-1907,-235,-8973,-12,-30,98090
235,-6054,-5830,5261,-235,-7493,272,-3,98090
236,-14243,-5830,-2513,-235,-10585,-18,-2,98090
237,-6411,-5830,5322,-103,-257,0,31,98090
238,-6545,-5830,5319,-1549,-7509,-6,61,98090
239,-14339,-5450,-2003,7097,-9025,-12,-3,98090
240,-6090,-5450,5261,7097,-7937,270,34,98090
241,-6090,-6292,-2461,7097,-11041,-18,-35,98090
242,-6416,5994,-2411,-167,-305,-4,37,98090
243,-6030,12122,5685,-41,-7585,0,37,98090
244,-6030,11150,-1919,6167,-863,-6,46,98090
245,-6029,12156,4809,-3639,703,-2,60,98090
246,-14227,12186,5773,969,-2951,-12,-2,98090
247,-6042,6042,5769,-173,672,-8,45,98090
248,-14218,12074,5707,-173,-7873,-2,46,98090
249,-6054,11130,-1913,-173,-1289,0,-2,98090
250,-6506,11962,5245,-3161,223,0,-2,98090
251,-16357,11962,-2867,885,223,-2,-2,98090
252,-6426,11962,5755,-179,187,0,39,98090
253,-6062,11962,5248,-1119,-8037,-2,32,98090
254,-15811,11962,-2428,1989,-7517,-6,-26,98090
255,-8061,12122,5185,1989,318,-6,-2,98090
256,-15754,12122,-2427,1989,318,-12,-30,98090
257,-7562,12122,5270,-441,171,-2,42,98090
258,-6034,11682,5773,-231,-7489,0,-2,98090
259,-7662,11682,-1914,4045,703,258,44,98090
260,-6051,11682,-1914,-2573,303,-6,38,98090
261,-15868,11682,-1914,431,303,260,-26,98090
262,-8066,5914,5292,-63,190,-6,-4,98090
263,-6026,5914,5772,-63,-7493,0,31,98090
264,-15850,5914,-2427,-63,-7945,-4,-4,98090
265,-6064,5914,5261,-63,315,0,-4,98090
266,-15818,5914,5741,-63,-7553,0,-3,98090
267,-7634,5912,5741,-63,-7553,272,37,98090
268,-15803,5912,-3455,-63,-7553,-8,-28,98090
269,-7437,5912,-2403,3957,255,0,37,98090
270,-7562,5912,5258,3957,303,-2,-9,98090
271,-15747,5912,5759,3957,-7554,0,-6,98090
272,-7507,5912,5660,-39,-257,284,34,98090
273,-15856,-5734,-3475,-39,-11691,-4,-32,98090
274,-15274,-5734,-2431,-39,-7490,260,-29,98090
275,-7610,-5734,5247,-3117,155,270,-3,98090
276,-7164,-5734,5324,857,-7489,-6,43,98090
277,-7507,-5734,5738,-435,161,-4,62,98090
278,-7050,-5734,5292,-435,-7489,-12,-2,98090
279,-6032,-5734,5773,-435,223,0,37,98090
280,-7530,-5734,5261,-2093,691,0,47,98090
281,-6034,-5734,5229,213,-7489,264,59,98090
282,-6030,-5734,5772,-43,319,-2,46,98090
283,-7054,-5734,5772,-43,-7559,0,43,98090
284,-15368,-4482,-2487,-43,-7497,-2,-26,98090
285,-15266,-4492,-2955,-43,-7559,-4,-26,98090
286,-6146,-4200,5323,-43,-11521,0,-2,98090
287,-6125,6042,5755,-501,-11521,-6,38,98090
288,-6082,6042,5755,-501,-11521,0,38,-35208
289,-15741,6042,5755,-501,-11521,-261,38,-35208
290,-14331,6042,5246,-231,-10655,0,38,-35303
291,-6410,6042,-1786,4057,-353,-2,38,-29405
292,-15317,-4264,-3379,-2311,-7993,-16,-8,-31854
293,-15242,-6352,-3476,421,-11592,260,-27,-32246
294,-15284,-6352,-2483,-87,-9001,0,-6,-24956
295,-6922,-6352,5321,-87,-7514,-6,46,-31348
296,-6093,-6352,5321,-87,289,-14,-4,-31348
297,-15299,-4282,5321,-87,-10019,264,-34,-31348
298,-15286,-4282,-2969,-87,-11522,-14,-30,-31347
299,-6059,-4282,5738,-47,-11522,-2,32,-27251
300,-15243,-5254,-2868,-2227,-11592,-4,-2,-32934
301,-6040,-5254,-2868,-2227,-11592,-8,-2,-32934
302,-15257,-5254,-2868,-2227,-11592,-265,-2,-32934
303,-15338,-5254,-2868,361,-11609,0,-2,-37482
304,-15331,-5254,-2868,-321,-8571,-258,-34,-29546
305,-15275,-4456,4685,-555,-7537,-258,-2,-37491
306,-15178,-4456,-2388,1545,-9474,-258,-26,-33830
307,-7054,-4456,-2388,-3145,-9474,-258,35,-34931
308,-15194,-6076,-2388,269,-9474,-258,-31,-39074
309,-6555,-6076,5758,-71,-9474,0,-2,-31851
310,-15309,-4646,-3474,-71,-10561,-12,-2,-31467
311,-6552,12148,5325,-71,-433,0,46,-34556
312,-6027,11800,5196,-71,-769,0,61,-31428
313,-15242,11800,-2447,-71,-769,-2,38,-31333
314,-6986,6012,-2447,-231,697,-2,43,-31333
315,-15306,-4662,-2447,-3515,-10578,-2,-35,-31333
316,-14856,-4228,5740,-3515,-9025,0,32,-31348
317,-6042,-4228,5740,-3515,-9025,-2,45,-31332
318,-14738,-5796,5740,-3515,-10637,-4,-2,-31458
319,-15178,-4682,5257,-551,-9145,0,-3,-31573
320,-6538,-4682,5257,-551,-1443,-4,37,-31396
321,-14742,-4682,-2867,-551,-8031,-4,-4,-33834
322,-6934,-4682,5389,-551,-1744,0,-2,-31524
